cust_name,id,review_date,review_title,review_description,range_used,review_score
Ouioui,0,2023-02-20,Tres bon article,Merci Decathlon,Utilise ce produit depuis 2 à 8 semaines,5
Khalid,1,2023-04-01,Le prix,399dh c'est le juste prix. Pas moyen que quelqu'un l'achète pour plus que ça.,Utilise ce produit depuis 2 à 8 semaines,3
Mohamed,2,2022-12-12,beatiful product,very useful product with good quality i advice you to buy it ♥️❤️,Utilise ce produit depuis 1 semaine ou moins,5
Hatim,4,2022-01-12,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Abdelaziz,5,2022-11-18,tres bon article,tres bon article,Utilise ce produit depuis 1 semaine ou moins,5
Brahim,6,2022-11-18,Lahrach,Bon Qualité,Utilise ce produit depuis 2 à 8 semaines,3
Adam,7,2022-09-11,ok,ok,Utilise ce produit depuis 1 semaine ou moins,5
Zakariae,8,2022-01-10,Wonderful,It's soooo good comparing to it price,Utilise ce produit depuis 2 à 8 semaines,5
Yassir,9,2022-09-24,Gg,👍,Utilise ce produit depuis 2 à 8 semaines,5
Raymond -,10,2023-05-25,"Excellent matériel, je le…","Excellent matériel, je le recommande vivement.",Utilise ce produit depuis 2 à 8 semaines,5
Anne-Laure,11,2023-05-23,Bon pack,"Bon pack, très pratique et polyvalent. Seul problème il manque des petits poids de 0,5kg",Utilise ce produit depuis 3 à 6 mois,4
Laurie,12,2023-05-22,Très bon rapport qualité/prix pour ce produit !,Très bon rapport qualité/prix pour ce produit ! Je suis ravie d'avoir investi et je le recommande à tout débutant en musculation !,Utilise ce produit depuis 2 à 8 semaines,5
HUBERT,13,2023-05-17,TVB RAS,TVB RAS,Utilise ce produit depuis 1 semaine ou moins,5
Bruno,14,2023-05-15,"Mallette complète, bon rapport…","Mallette complète, bon rapport qualité prix",Utilise ce produit depuis 1 semaine ou moins,5
Dolores,15,2023-05-14,Bien,Bien,Utilise ce produit depuis 7 à 12 mois,5
Vincent,16,2023-05-14,Malette très pratique et…,"Malette très pratique et modulable 
Tout est parfait",Utilise ce produit depuis 3 à 6 mois,5
Amelie,17,2023-05-13,Il manque des poids…,Il manque des poids de 500g je trouve,Utilise ce produit depuis 2 à 8 semaines,4
Estelle,18,2023-05-13,Convient  mes attentes,Convient  mes attentes,Utilise ce produit depuis 3 à 6 mois,5
Audrey,19,2023-11-05,Fait le job,"La prise en main est bonne.
Possibilité de faire des poids de 4,6,8 et 10kg
Je vais me racheter des poids des 0,5kg et 5kg pour avoir un meilleur panel.

Penser à bien serrer les vices fort sinon elles peuvent se desserrer",Utilise ce produit depuis 2 à 8 semaines,4
Christophe,20,2023-09-05,Super,Super,Utilise ce produit depuis 7 à 12 mois,5
Yannick,21,2023-05-05,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,4
Patrick,22,2023-03-05,Parfait pour reprendre le…,Parfait pour reprendre le renforcement musculaire,Utilise ce produit depuis 1 semaine ou moins,5
Jean Paul,23,2023-01-05,"Je conseille ses altères,…","Je conseille ses altères, excellentes",Utilise ce produit depuis 2 à 8 semaines,5
Danièle,24,2023-04-30,Idéal pour débuter,C'est un très bon kit pour commencer la musculation à la maison,Utilise ce produit depuis Plus d'un an,5
Franck,25,2023-04-30,Fort utile et facilement…,"Fort utile et facilement transportable. Je peux m'en servir très régulièrement. Donc parfait et en plus, on peut facilement le compléter",Utilise ce produit depuis 7 à 12 mois,5
Sébastien,26,2023-04-30,Les fixations de barre…,"Les fixations de barre ont tendance à se dévisser seules, il faut penser de temps en temps à resserrer mais sinon c'est un bon produit",Utilise ce produit depuis 3 à 6 mois,5
Michel,27,2023-04-29,Acheté pour une remise…,"Acheté pour une remise en forme, j'aimerais avoir des conseils pour la meilleure utilisation de ce produit.",Utilise ce produit depuis 2 à 8 semaines,4
Manassé,28,2023-04-29,Un avis vraiment personnel…,Un avis vraiment personnel mais j'ai rendu le kit au magasin car il ne correspondait pas à mes attentes. Matériel de bonne qualité néanmoins.,Utilise ce produit depuis 1 semaine ou moins,5
Lou-Solenn,29,2023-04-28,Bon article,Il s'agit d'un très bon produit qui semble durable dans le temps. Je ne mets cependant pas la note maximale car la boîte n'a pas été bien pensée. Il n'y a rien qui permet de maintenir les poids ou les barres dans leur boîte donc j'ai dû mettre du scotch car impossible de refermer la boîte sans que les poids ou les barres ne tombent ...,Utilise ce produit depuis 1 semaine ou moins,4
Grégoire,30,2023-04-26,Produit facile d’utilisation et…,Produit facile d’utilisation et pratique à transporter dans sa mallette,Utilise ce produit depuis 2 à 8 semaines,5
alain,31,2023-04-24,rapport qualité / prix…,rapport qualité / prix correcte.,Utilise ce produit depuis 1 semaine ou moins,5
Yann,32,2023-04-24,Très bon set mais…,"Très bon set mais j’aurais aimé deux poids de 500gr.
Permettant une meilleure transition dans l’évolution pour ma fille",Utilise ce produit depuis 2 à 8 semaines,4
Philippe,33,2023-04-23,parfait. robuste,parfait. robuste,Utilise ce produit depuis 2 à 8 semaines,5
Marion,34,2023-04-22,"Produit conforme, parfait pour…","Produit conforme, parfait pour une utilisation à la maison.",Utilise ce produit depuis 2 à 8 semaines,5
Sonia,35,2023-04-22,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Michel,36,2023-04-16,Kit parfait pour se…,"Kit parfait pour se refaire les muscles, plusieurs combinaisons possibles avec ce coffret. 
Attention, je pense que le système de charnières est fragile et risque de casser dans le temps surtout si ce dernier reste exposé aux rayons solaires ou lunaires.
C'est le seul point négatif que je peux reprocher. 
Les écrous à pas carré sont très bien, bien usinés et ne se déssèrent pas s'ils sont bien bloqués au montage .
Les barres sont très bien et ne glissent pas dans les mains.",Utilise ce produit depuis 2 à 8 semaines,5
Jérôme,37,2023-04-16,Impeccable :yes:,Impeccable 👍,Utilise ce produit depuis 2 à 8 semaines,5
Stephane,38,2023-04-15,La malette est pratique…,La malette est pratique mais le plastique n’est pas très endurant notamment pour maintenir les articles,Utilise ce produit depuis 2 à 8 semaines,4
Stephanie,39,2023-04-15,Top,Le bonheur de mon fils,Utilise ce produit depuis 3 à 6 mois,5
Sandrine,40,2023-04-13,bon rapport qualité prix,bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
Natacha,41,2023-12-04,Malette abimée = pas de fermeture,"Je viens de recevoir le produit : la mallette est abimée... Une des deux parties qui fait pression pour la fermer est manquant. Il était tout au fond du carton en morceaux. Je suis très déçue, au vu du prix et ayant acheté ce kit spécialement pour pouvoir ranger et transporter le matériel sans soucis... Là, la mallette ne reste pas fermée.",Utilise ce produit depuis 1 semaine ou moins,3
Pierre,42,2023-12-04,Bien pour débuter,"Ce kit est parfait pour débuter la musculation ou pour quelques exercices ponctuellement. Le système de serrage n'est toutefois pas optimal, le changement de poids nécessitant beaucoup de manipulations.",Utilise ce produit depuis 3 à 6 mois,4
Alain,43,2023-04-04,C'est exatement ce que…,C'est exatement ce que je désirer,Utilise ce produit depuis 1 semaine ou moins,5
Philippe,44,2023-04-04,"Bon produit, facile d'utilisation…","Bon produit, facile d'utilisation et pratique à ranger.",Utilise ce produit depuis 2 à 8 semaines,5
Estelle,45,2023-04-04,Kit complet pour débuter,Kit de poids complet pour débuter la musculation,Utilise ce produit depuis 7 à 12 mois,5
thierry,46,2023-03-04,fermeture de la malette…,fermeture de la malette abime,Utilise ce produit depuis 2 à 8 semaines,1
Francois Audrey,47,2023-03-04,Ras,Ras,Utilise ce produit depuis 1 semaine ou moins,5
François,48,2023-03-31,Qualité à revoir,"Poids ayant un bon rapport qualité prix.
La qualité des peintures n'est pas grandiose mais est ce nécessaire ?
Il manque un joint sur un des écrous, je vais retourner au magasin le réclamer. La boîte était pourtant scellée. Le contrôle qualité est donc à revoir.",Utilise ce produit depuis 1 semaine ou moins,4
Lucien,49,2023-03-26,Prenez la livraison !!,"Bonjour j’ai acheté ce pack ce matin et le décathlon ou je l’ai acheté était plutôt loin de chez moi, et j’ai énormément galérais à le ramener chez moi( j’ai pris les transports ) . Je vous conseille donc de le remmener en voiture ou bien prendre la livraison.
Je n’ai pas encore fais d’entraînement avec le contenu de la mallette, ne prenaient donc pas en compte les avis que j’ai mis dessus",Utilise ce produit depuis 1 semaine ou moins,4
astrid,50,2023-03-25,Parfait,Parfait,Utilise ce produit depuis 1 semaine ou moins,5
Arnaud,51,2023-03-23,Ras,Ras,Utilise ce produit depuis 3 à 6 mois,5
Cynthia,52,2023-03-23,Super produit,Super produit,Utilise ce produit depuis 2 à 8 semaines,5
Lucien,53,2023-03-22,Matériel modulable très efficace,Matériel modulable très efficace,Utilise ce produit depuis 2 à 8 semaines,5
Patrick,54,2023-03-22,"Pas de problème ,…","Pas de problème , je recommande",Utilise ce produit depuis 2 à 8 semaines,4
Bruno,55,2023-03-21,"Même NEUF, le jour…","Même NEUF, le jour du déballage, l'écrou avait du mal à se visser et faisait un bruit d'enfer TRÈS DÉSAGRÉABLE AUX OREILLES... Je vais peut-être le ramener au magasin...",Utilise ce produit depuis 2 à 8 semaines,4
Didier,56,2023-03-21,Très content de mon…,Très content de mon achat.,Utilise ce produit depuis 2 à 8 semaines,5
Ingrid,57,2023-03-20,mon fils les utilise…,mon fils les utilise et il en est content,Utilise ce produit depuis 2 à 8 semaines,4
Jules,58,2023-03-20,Fidèle aux attentes,Fidèle aux attentes,Utilise ce produit depuis 2 à 8 semaines,4
Germaine,59,2023-03-17,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Marie,60,2023-12-03,Coffret qui permet de…,Coffret qui permet de commencer sans gros budget. Impeccable,Utilise ce produit depuis 1 semaine ou moins,5
Jeanne,61,2023-10-03,C’est pas cher et…,C’est pas cher et très utile pour la musculation à la maison. Et la palette très pratique pour le rangement,Utilise ce produit depuis 1 semaine ou moins,5
Olivia,62,2023-10-03,contenu pas conforme au descriptif,"Le coffret n'est pas de 20kg mais 18kg, il n'y a pas 8 x 1kg comme indiqué mais si 6 x 1kg !! Du coup on ne peut pas mettre la même charge 'complète' sur les 2 altères, il va nous rester 2x1kg qui vont servir a rien si on veut utiliser les 2 altères en même temps!",Utilise ce produit depuis 1 semaine ou moins,1
Joelle,63,2023-09-03,partfait dans sa malette,partfait dans sa malette,Utilise ce produit depuis 1 semaine ou moins,5
Ben Yassini Mbae,64,2023-06-03,Je suis très heureux…,Je suis très heureux avoir acheté cette produit,Utilise ce produit depuis 1 semaine ou moins,4
Elodie,65,2023-03-03,A voir avec le…,A voir avec le temps et l'utilisation,Utilise ce produit depuis 2 à 8 semaines,5
Claudia,66,2023-02-03,Três bon,Três bon,Utilise ce produit depuis 2 à 8 semaines,5
Jack,67,2023-02-27,Pas mal,"Un bon set pour débuter sans trop dépenser. 
Les disques sont solides mais n allez pas non plus faire du soulevé de terre avec!
 les écrous tiennent bien mais gare aux joints qui aime bien se faire la malle de temps à autre...
Sinon tout est top. 
les barres manque toutefois légèrement d'ergonomie.",Utilise ce produit depuis Plus de 2 ans,4
Thierry,68,2023-02-25,J'ai déjà répondu je…,J'ai déjà répondu je vous ai déjà donné mon avis au sujet du magasin par contre sera un vélo électrique que j'aurais aimé savoir de quel façon pour la payer en combien de fois j'ai vue un vélo électrique qui fais 1000€ a peu près j'attends votre réponse j'aurais aimé savoir autre choses pour que je face une commande de vêtements pour m'habiller je peu faire comment merci d'avance et vos employés sont très gentils et très aimable il mon renseigné bien il mon bien expliquer au niveaux du produit je reviendrai pour acheter au moin deux pantalons qui me plaît énormément avec des maillots aussi je reviendrai pour une veste pour le froid voilà monsieur le directeur je suis très reconnaissant et a bientôt,Utilise ce produit depuis 3 à 6 mois,5
Marie Ange,69,2023-02-24,Très bon produit au…,Très bon produit au niveau qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Alexandre,70,2023-02-22,Très pratique les vis…,Très pratique les vis de maintien. Et aussi très pratique le rangement malette,Utilise ce produit depuis 2 à 8 semaines,5
Stephane,71,2023-02-22,"Très bien
Par contre l'un…","Très bien
Par contre l'un des système de blocage bouge se dévisse légèrement très souvent ce qui est un peu gênant car à revisser entre chaque série ou exercice",Utilise ce produit depuis 3 à 6 mois,4
Sylvie,72,2023-02-19,Bon achat,Bon achat,Utilise ce produit depuis 1 semaine ou moins,4
Sébastien,73,2023-02-19,Nickel,Nickel,Utilise ce produit depuis 2 à 8 semaines,5
Dylan,74,2023-02-19,Produit OK,RAS,Utilise ce produit depuis Plus de 2 ans,5
Sandrine,75,2023-02-18,Très bon produit bien…,Très bon produit bien qu'un des bloqueurs ne se visse pas bien et ne tient pas bien dans la boîte.,Utilise ce produit depuis 2 à 8 semaines,4
FRANCOISE,76,2023-02-18,Très bon materiel,Très bon materiel,Utilise ce produit depuis 1 semaine ou moins,5
Celine,77,2023-02-16,Les écrous  ne…,"Les écrous  ne sont pas très  pratiques et manque  de serrage selon l'exercice que l'on fait, ils se desserent un peu...",Utilise ce produit depuis 2 à 8 semaines,4
Cendrine,78,2023-02-15,Très bon produit,Très bon produit,Utilise ce produit depuis 7 à 12 mois,5
Bruno,79,2023-12-02,TOP,"Très bon kit autant pour débuter que pour progresser
j'ai complété avec 4 poids de 0,5 pour augmenter par tranche de 2kg au total",Utilise ce produit depuis Plus d'un an,5
Emma,80,2023-10-02,top,top,Utilise ce produit depuis 1 semaine ou moins,5
Manuella,81,2023-09-02,Très pratique dans sa…,Très pratique dans sa mallette pour le rangement. Bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Nathalie,82,2023-09-02,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Michel,83,2023-08-02,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,4
jennifer,84,2023-08-02,Pratique et bon rapport…,Pratique et bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
ismet,85,2023-07-02,Parfait,Permet de travailler en toute sécurité,Utilise ce produit depuis 3 à 6 mois,5
Patrice,86,2023-07-02,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,5
OLIVIER,87,2023-05-02,Ensemble très pratique avec…,Ensemble très pratique avec sa valisette. Belle qualité. Les barres et écrous filetés permettent un bon blocage des masses sur les barres,Utilise ce produit depuis 2 à 8 semaines,5
Justine,88,2023-04-02,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Alain,89,2023-03-02,Bon produit.,Bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Guillaume,90,2023-01-02,Conforme aux attentes,Conforme aux attentes,Utilise ce produit depuis 2 à 8 semaines,5
jacquot,91,2023-01-02,impeccable zebi la truite,impeccable zebi la truite,Utilise ce produit depuis 2 à 8 semaines,5
Michel,92,2023-01-28,correspond à mes attentes…,correspond à mes attentes pour renforcement musculaire en complément du trail pratiqué.,Utilise ce produit depuis 2 à 8 semaines,4
David,93,2023-01-27,Top pour mon activité,Top pour mon activité,Utilise ce produit depuis 1 semaine ou moins,4
Sebastien,94,2023-01-27,Produit efficace pour du…,Produit efficace pour du cross training,Utilise ce produit depuis 2 à 8 semaines,4
Aurelie,95,2023-01-26,Rien à dire… !,Rien à dire… !,Utilise ce produit depuis 7 à 12 mois,5
Guislin,96,2023-01-25,très satisfait du produit…,très satisfait du produit ! simple et pratique,Utilise ce produit depuis 2 à 8 semaines,5
Cecile,97,2023-01-24,satisfait   -…,satisfait   -    rangement  OK,Utilise ce produit depuis 2 à 8 semaines,5
Celine,98,2023-01-24,Bon matériel pour débutants.,Bon matériel pour débutants.,Utilise ce produit depuis 2 à 8 semaines,5
Jacky,99,2023-01-23,parfais pour débutant,parfais pour débutant,Utilise ce produit depuis 2 à 8 semaines,5
Anthony,100,2023-01-22,très bien,"très bon rapport qualité-prix mais la malette en plastique est un peu déformé sous l'effet des poids, rien de grave tout est parfait sinon",Utilise ce produit depuis 1 semaine ou moins,5
Valerie,101,2023-01-19,Excellent rapport qualite prix,Excellent rapport qualite prix,Utilise ce produit depuis 7 à 12 mois,4
Jean-Luc,102,2023-01-19,Bonne tenue en mains,Bonne tenue en mains,Utilise ce produit depuis 2 à 8 semaines,5
Nathalie,103,2023-01-19,Très bon produit pour…,Très bon produit pour la musculation,Utilise ce produit depuis 7 à 12 mois,5
Jacques,104,2023-01-18,La petite valise est…,La petite valise est un peu fragile,Utilise ce produit depuis 1 semaine ou moins,5
Romane,105,2023-01-18,Bien pour la muscu,"Les disques sont trop large, les écrous se dévissent et la barre n'est pas agréable à prendre en main. Il faut prendre du temps pour changer les poids. 
Pour de la pure musculation je pense que c'est un bon produit mais pas pour de la fitness.",Utilise ce produit depuis 2 à 8 semaines,3
Valérie,106,2023-01-17,Produit complet et de…,Produit complet et de qualité,Utilise ce produit depuis 1 semaine ou moins,5
Audrey,107,2023-01-17,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Lydie,108,2023-01-17,Excellent,Excellent,Utilise ce produit depuis 3 à 6 mois,5
Thomas,109,2023-01-17,Top pour le rangement,Top pour le rangement,Utilise ce produit depuis 1 semaine ou moins,5
Marie-Claire,110,2023-01-17,Mon fils est très…,Mon fils est très satisfait de ce produit.,Utilise ce produit depuis 3 à 6 mois,5
Christina,111,2023-01-16,Pratique solide simple d'utilisation…,"Pratique solide simple d'utilisation 
Bon produit",Utilise ce produit depuis 2 à 8 semaines,4
Adrien,112,2023-01-16,Très bien pour les…,"Très bien pour les séances à la maison, modulable et facile à ranger",Utilise ce produit depuis 3 à 6 mois,5
Ethan,113,2023-01-15,Recommandation,Je viens de les avoir est c’est super pratique ! (Je recommande pour tous ceux et celles qui veulent devenir le/la plus fort/e de leur lignée hehe),Utilise ce produit depuis 1 semaine ou moins,5
Maxime,114,2023-01-14,Poids,La base !,Utilise ce produit depuis 1 semaine ou moins,5
Christophe,115,2023-01-14,La malette de transport…,"La malette de transport est bien pratique. 
Oui je recommande ce produit.",Utilise ce produit depuis 2 à 8 semaines,4
Francis,116,2023-01-13,Conforme aux caractéristiques …,Conforme aux caractéristiques  bon produit,Utilise ce produit depuis 2 à 8 semaines,5
DOMINIQUE,117,2023-12-01,La mallette n’ est…,La mallette n’ est pas du tout adaptée,Utilise ce produit depuis 2 à 8 semaines,4
Geoffrey,118,2023-12-01,Super rapport qualité prix…,"Super rapport qualité prix 
Sécurisant",Utilise ce produit depuis 2 à 8 semaines,5
Francine,119,2023-12-01,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Jean-Christophe,120,2023-11-01,Très pratique pour ranger,Très pratique pour ranger,Utilise ce produit depuis 2 à 8 semaines,4
Nathalie,121,2023-11-01,Produit conforme à mes…,Produit conforme à mes attentes,Utilise ce produit depuis 2 à 8 semaines,5
Valérie,122,2023-10-01,"Très pratique, bon produit…","Très pratique, bon produit !",Utilise ce produit depuis 2 à 8 semaines,5
Hanane,123,2023-10-01,Pas assez de maintien…,Pas assez de maintien dans son étui .,Utilise ce produit depuis 2 à 8 semaines,4
Alice,124,2023-09-01,Une très bonne malette…,"Une très bonne malette pour débuter. 
Assez complète 
Rapport qualité/prix top",Utilise ce produit depuis 2 à 8 semaines,5
Franck,125,2023-08-01,Matériel apparemment robuste et…,Matériel apparemment robuste et polyvalent avec différentes combinaisons possibles.,Utilise ce produit depuis 2 à 8 semaines,5
Hélène,126,2023-07-01,Les poids sont adaptés…,Les poids sont adaptés pour mes exercices de muscu sans soucis.,Utilise ce produit depuis 1 semaine ou moins,4
Charline,127,2023-06-01,Au top et ne…,Au top et ne prend pas de place après la malette reste lourde seul défaut,Utilise ce produit depuis 7 à 12 mois,4
Andre,128,2023-05-01,Kit haltères de 20 kg,"Ce produit parait bien étudié, à voir à l'usage pour un enfant de 16 ans.
Offert pour Noël.",Utilise ce produit depuis 2 à 8 semaines,4
Sullivan,129,2023-04-01,Mon fils est ravi,Mon fils est ravi,Utilise ce produit depuis 2 à 8 semaines,4
Nicolas,130,2023-04-01,Excellent !,Excellent !,Utilise ce produit depuis 2 à 8 semaines,5
Cécile,131,2023-03-01,Kit offert pour mon…,"Kit offert pour mon adolescent à Noël, il en est ravi. Tout tient dans la mallette et se transporte facilement. Possibilité de régler les poids de façon simple.",Utilise ce produit depuis 2 à 8 semaines,5
Christophe,132,2023-03-01,Bien conçu et changement…,"Bien conçu et changement de poids facile, blocage fiable et durable",Utilise ce produit depuis 2 à 8 semaines,5
Fabrice,133,2023-01-01,Excellent produit,Excellent produit,Utilise ce produit depuis 2 à 8 semaines,4
celine,134,2022-12-31,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Jérôme,135,2022-12-31,Du bon matériel aussi…,"Du bon matériel aussi bien pour amateurs que professionnel les produits sont de très bonne qualité avec une belle finition je reviendrait pour compléter ma gamme en espérant que vous vous réapprovisionner régulièrement, merci 👍",Utilise ce produit depuis 7 à 12 mois,5
Jérôme,136,2022-12-30,La fermeture de la…,La fermeture de la boîte plastique doit être fiabilisée et/ou améliorer,Utilise ce produit depuis 2 à 8 semaines,4
Thomas,137,2022-12-29,Bon produit solide on…,Bon produit solide on se fait rapidement à l'ergonomie,Utilise ce produit depuis 3 à 6 mois,5
Christelle,138,2022-12-26,"Très bien, je recommande.","Très bien, je recommande.",Utilise ce produit depuis 1 semaine ou moins,5
Peggy,139,2022-12-26,Correspond tout à fait…,"Correspond tout à fait à la description, facile à monter et pratique",Utilise ce produit depuis 1 semaine ou moins,5
Christele,140,2022-12-26,RAS,RAS,Utilise ce produit depuis 2 à 8 semaines,5
