cust_name,review_date,review_title,review_description,range_used,review_score
Tania,05/11/2022,bien,une semelle plus confortable serait bienvenue,Utilise ce produit depuis 3 à 6 mois,5
Didier,03/11/2022,très bon rapport qualité…,très bon rapport qualité /prix,Utilise ce produit depuis 2 à 8 semaines,5
Patrick,02/11/2022,sandales très légères,"Pratiques et confortables, ces sandales sont utiles en plein été et leur prix est très abordable",Utilise ce produit depuis 3 à 6 mois,4
Jean.sébastien,01/11/2022,"Un classique, le revêtement…","Un classique, le revêtement en contact avec la plante du pied est particulièrement confortable pour une sandale d entrée de gamme, je les ai en trois exemplaires !",Utilise ce produit depuis 3 à 6 mois,5
Carlos,31/10/2022,Produit qualité prix top,Produit qualité prix top,Utilise ce produit depuis 2 à 8 semaines,4
Luc,31/10/2022,"Pas chère, facile à…","Pas chère, facile à mettre. Résistante.",Utilise ce produit depuis 3 à 6 mois,5
Jean Pierre,25/10/2022,Excellent,Excellent,Utilise ce produit depuis 3 à 6 mois,5
Sandra,23/10/2022,Ces sandales sont agréables…,"Ces sandales sont agréables à porter mais pendant de longues marches, avec la transpiration, le pied a tendance à glisser sur la semelle intérieur. Une semelle absorbante serait appréciable.",Utilise ce produit depuis 3 à 6 mois,3
Guillaume,23/10/2022,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Michael,20/10/2022,Vraiment très confortable pour…,Vraiment très confortable pour marcher,Utilise ce produit depuis 3 à 6 mois,5
Jean Pierre,18/10/2022,Très bien pour marcher…,Très bien pour marcher sur les sentiers du littoral sur de courtes distances,Utilise ce produit depuis 3 à 6 mois,4
Camille,17/10/2022,Bon produit conforme à…,Bon produit conforme à ce que je voulais,Utilise ce produit depuis 2 à 8 semaines,4
Philippe,16/10/2022,Très bien pour petite…,Très bien pour petite randonnée à la journée par beau temps..,Utilise ce produit depuis 2 à 8 semaines,5
Michel,16/10/2022,"Bonjour, matériel qui correspond…","Bonjour, matériel qui correspond très bien à la gamme. Les lanières sont larges et maintiennent bien le pied. Les scratchs sont bien proportionnés pas trop larges pour ne pas blesse  pied et avoir une très bonne accroche et pas fins comme on peut le voir sur certains modèles qui ne tiennent plus aux pieds en peu de temps. L'arrière de la chaussure est d'une pièce ce qui renforce sa solidité et sa stabilité.
Peut être utilisé en milieux humide pourvu de bien les faire sécher ensuite.
L'amorti reste suffisant pour une utilisation modérée sur terrain pas trop rugueux (gros gravier par exemple). Attention au poids de l'occupant de ces sandales, tassement de la semelle à très moyen terme. Chaussure confortable dans son ensemble. Le rapport qualité prix est respecté.",Utilise ce produit depuis 2 à 8 semaines,4
Raphael,15/10/2022,chaussure,pratique,Utilise ce produit depuis 3 à 6 mois,5
Herve,14/10/2022,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Gerard,14/10/2022,bien,bien,Utilise ce produit depuis 2 à 8 semaines,4
Frédéric,13/10/2022,bon produit,bon produit,Utilise ce produit depuis 3 à 6 mois,4
Eric,13/10/2022,Légèreté pour l'été,Très agréables et légères à porter. Bonne semelle résistante. Réglage des sangles simple et efficace.,Utilise ce produit depuis Plus d'un an,5
Patrick,11/10/2022,Tiens bien,Tiens bien,Utilise ce produit depuis 3 à 6 mois,5
Patricia,11/10/2022,Très confortable et de…,Très confortable et de bonne qualité,Utilise ce produit depuis 1 semaine ou moins,5
Patricia,10/10/2022,Très bon produit léger…,Très bon produit léger et confortable,Utilise ce produit depuis 3 à 6 mois,5
Christine,08/10/2022,on est bien dans…,"on est bien dans ces sandales, bonne adhérence, bon amorti, le pied est bien tenu. bon produit.",Utilise ce produit depuis 2 à 8 semaines,5
Francine,05/10/2022,Satisfaite,Satisfaite,Utilise ce produit depuis 2 à 8 semaines,5
Vincent,05/10/2022,Les lanières sont trop…,"Les lanières sont trop étroites, donc inconfortables. Elle pourraient être un peu plus longues pour un meilleur grip sur le velcro. Les semelles sont minimalistes.",Utilise ce produit depuis 3 à 6 mois,5
Christian,05/10/2022,Une chaussure juste pour…,"Une chaussure juste pour l'été, tous les jours, confortable et a un prix très contenu.
A ce prix là, je change tous les ans!",Utilise ce produit depuis 2 à 8 semaines,4
MARC,05/10/2022,pratique,pratique,Utilise ce produit depuis 2 à 8 semaines,5
Moh,05/10/2022,"fait bien le job,…","fait bien le job, pour le prix vraiment pas mal, l'amorti un peu faible, une semelle plus légèrement plus épaisse et amortissante, ce serait pas mal",Utilise ce produit depuis 3 à 6 mois,5
Pascal,04/10/2022,très bon produit.,très bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Johnsan,02/10/2022,Bon0,Bon0,Utilise ce produit depuis 2 à 8 semaines,4
Christophe,02/10/2022,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,5
Claudine,01/10/2022,Très Bien pour la…,Très Bien pour la detente,Utilise ce produit depuis 2 à 8 semaines,5
Virginie,01/10/2022,Ras nikel,Ras nikel,Utilise ce produit depuis 2 à 8 semaines,5
Anne-Marie,29/09/2022,Rapport qualité prix parfait,Rapport qualité prix parfait,Utilise ce produit depuis 2 à 8 semaines,5
Francine,29/09/2022,Bon rapport qualité prix.…,Bon rapport qualité prix. Dommage que le 42 n existe pas version femme,Utilise ce produit depuis 2 à 8 semaines,4
Sophie,28/09/2022,Bon produit rapport qualité…,Bon produit rapport qualité prix,Utilise ce produit depuis 3 à 6 mois,5
Sylvie,28/09/2022,Agréable pour promenades tranquilles…,Agréable pour promenades tranquilles en été,Utilise ce produit depuis 3 à 6 mois,4
Sebastien,27/09/2022,Cool,Cool,Utilise ce produit depuis 3 à 6 mois,5
Ed,27/09/2022,Enfin une bonne couleur,"J'ai porté ce modele de sandales depuis 6 ans, sauf quand il fait froid.  Confortable (esp avec hallus valgus), bonne protection pour les doigts, résistant, pas cher.  Enfin disponible en bonne couleur.",Utilise ce produit depuis 2 à 8 semaines,5
Francis,27/09/2022,"bon produit , bon…","bon produit , bon maintien . fond pas mal au pieds",Utilise ce produit depuis 2 à 8 semaines,5
Jean Yves,26/09/2022,Chaussures de bonne qualité,Chaussures de bonne qualité,Utilise ce produit depuis 2 à 8 semaines,5
Christine,26/09/2022,utilisé à domicile,utilisé à domicile,Utilise ce produit depuis 2 à 8 semaines,4
Eric,24/09/2022,Pour une saison estivale…,Pour une saison estivale ça va,Utilise ce produit depuis 2 à 8 semaines,4
Chafikah,24/09/2022,Bon maintien,Bon maintien,Utilise ce produit depuis 2 à 8 semaines,5
MARIE FRANCE,24/09/2022,Merci à mes sandales.…,"Merci à mes sandales. Avec un doigt de pied cassé 3 jours avant de partir en vacances pour faire de la marche , impossible de mettre de chaussure.
On m'a conseillé ces sandales , grâce aux scratchs j'ai pu poser mon pied sur la sandale,
Scratcher sans trop serrer et j'ai pu marcher sans problèmes.",Utilise ce produit depuis 2 à 8 semaines,5
Gérard,23/09/2022,Bonne protection des doigts…,Bonne protection des doigts de pieds.,Utilise ce produit depuis 2 à 8 semaines,4
Jean Louis,23/09/2022,Prix convenable.,Prix convenable.,Utilise ce produit depuis 2 à 8 semaines,5
Khaled,22/09/2022,Difficile à chausser et…,"Difficile à chausser et ne maintien pas bien le pied, pas confortable",Utilise ce produit depuis 2 à 8 semaines,1
Pascal,22/09/2022,Sur une journée de…,"Sur une journée de 12 km , J ai eu un échauffement au niveau du pouce droite à force de frotter,  mais cela n a pas recommencer sur les autres marches",Utilise ce produit depuis 2 à 8 semaines,4
Gaelle,21/09/2022,Très  bon produit,Très  bon produit,Utilise ce produit depuis 2 à 8 semaines,4
Aurelie,21/09/2022,excellente pour sont prix…,excellente pour sont prix très bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
Jean-Pierre,20/09/2022,Très agréable à porter…,"Très agréable à porter 
J'ai fait aussi de vélo sans problème",Utilise ce produit depuis 2 à 8 semaines,4
Noel,20/09/2022,sans commentaire,sans commentaire,Utilise ce produit depuis 2 à 8 semaines,4
Paul,20/09/2022,Super!,Super!,Utilise ce produit depuis 2 à 8 semaines,5
Gerard,19/09/2022,très bon produit,très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Serge,19/09/2022,bonne qualité,bon produit ...donne beaucoup de transpiration dous les pieds...,Utilise ce produit depuis 2 à 8 semaines,4
Laurent,18/09/2022,Produit un peu basique,Produit un peu basique,Utilise ce produit depuis 2 à 8 semaines,4
Fatoumata,18/09/2022,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 3 à 6 mois,4
Marc,18/09/2022,Super,Super,Utilise ce produit depuis 3 à 6 mois,5
Olivier,16/09/2022,je ne suis pas…,"je ne suis pas habitué aux sandales mais c'est vrai que c'est plus secure à vélo pour aller à la plage que des tongs par exemple.
Pour le prix, comme souvent avec decathlon, elles sont imbattables. Par contre la matière donne quand même chaud et génère une odeur assez désagréable (juré, d'habitude je ne sens pas des pieds!).",Utilise ce produit depuis 2 à 8 semaines,4
Michel,16/09/2022,super légère,super légère,Utilise ce produit depuis 3 à 6 mois,4
Frederique,16/09/2022,Ras,Ras,Utilise ce produit depuis 2 à 8 semaines,5
Dominique,14/09/2022,sandale de marche,"bonne sandale utilisé tous l'été, beaucoup de marche et pas mal au pied, confortable",Utilise ce produit depuis 3 à 6 mois,4
Laurence,13/09/2022,Bonne chaussure,Bonne chaussure,Utilise ce produit depuis 2 à 8 semaines,5
Michael,09/09/2022,on est bien dedans,on est bien dedans,Utilise ce produit depuis 3 à 6 mois,5
Patrick,09/09/2022,C'est ce que je…,C'est ce que je cherchais pour l'été,Utilise ce produit depuis 2 à 8 semaines,5
Jean Luc,08/09/2022,Parfois un peu difficile…,Parfois un peu difficile à régler. Relativement confortable,Utilise ce produit depuis 2 à 8 semaines,3
Jose,08/09/2022,Bien,Bien,Utilise ce produit depuis 2 à 8 semaines,4
Jean-Philippe,08/09/2022,article conforme à la…,article conforme à la description,Utilise ce produit depuis 2 à 8 semaines,5
Sébastien,07/09/2022,"Très bon produit, léger…","Très bon produit, léger et souple",Utilise ce produit depuis 2 à 8 semaines,5
Didier,05/09/2022,Bien,Bien,Utilise ce produit depuis 2 à 8 semaines,4
Sandrine,05/09/2022,"Bonnes chaussures, confortables, amorties…","Bonnes chaussures, confortables, amorties les chocs. Bon prix",Utilise ce produit depuis 2 à 8 semaines,5
Michel,05/09/2022,Article conforme aux espérances.…,Article conforme aux espérances. Pas de transpiration ni d'ampoules. Bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Vincent,04/09/2022,Plutôt bien pour le…,Plutôt bien pour le prix!!,Utilise ce produit depuis 2 à 8 semaines,4
Philippe,03/09/2022,Très utile et bonne…,Très utile et bonne solidité pour un prix très abordable,Utilise ce produit depuis 2 à 8 semaines,5
Corinne,03/09/2022,Très bon produit adopté…,Très bon produit adopté pour mon ado,Utilise ce produit depuis 3 à 6 mois,5
Sandrine,03/09/2022,Bonne chaussure et ouverture…,Bonne chaussure et ouverture totale très pratique,Utilise ce produit depuis 2 à 8 semaines,5
Sebastien,02/09/2022,Rien a dire,Rien a dire,Utilise ce produit depuis 2 à 8 semaines,4
Dominique,02/09/2022,Ras,Ras,Utilise ce produit depuis 2 à 8 semaines,5
Alain,02/09/2022,Bonjour les lanières …,Bonjour les lanières  mon brule le pied  au bout de 2 jour et j'ai  pas  fait  de randonnée  avec  j'ai  juste  marche normalement    elle  sont a ma taille  mon pied  ne bouge pas je vois  pas d'où  le problème  vient  j'ai  pas pus  les remaitre,Utilise ce produit depuis Plus de 2 ans,2
Sami,02/09/2022,Bon produit pour un…,Bon produit pour un premier prix,Utilise ce produit depuis 2 à 8 semaines,4
Francoise,02/09/2022,Produit basique parfait pour…,Produit basique parfait pour le loisir,Utilise ce produit depuis 1 semaine ou moins,5
Julien,01/09/2022,Bon produit.,Bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Christele,01/09/2022,ce n'est vraiment pas…,ce n'est vraiment pas confortable,Utilise ce produit depuis 2 à 8 semaines,2
Yannick,01/09/2022,Dommage pour l’humidité sous…,Dommage pour l’humidité sous le pied sinon très pratique,Utilise ce produit depuis 1 semaine ou moins,5
Brigitte,01/09/2022,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
MARIE CHRISTINE,01/09/2022,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
MARIA,31/08/2022,Bon rapport qualité/prix,Bon rapport qualité/prix,Utilise ce produit depuis 2 à 8 semaines,5
Barthelemy,31/08/2022,Produit fidèle à la…,Produit fidèle à la description.fait le job,Utilise ce produit depuis 1 semaine ou moins,5
Mélanie,31/08/2022,Sandales agréable,"Bon maintien, agréable",Utilise ce produit depuis 2 à 8 semaines,5
Natacha,30/08/2022,ras,ras,Utilise ce produit depuis 2 à 8 semaines,5
Damien,30/08/2022,Super produit,Super produit,Utilise ce produit depuis 3 à 6 mois,5
Thierry,30/08/2022,ras,ras,Utilise ce produit depuis 2 à 8 semaines,4
Michele,30/08/2022,Pas très confortable en…,"Pas très confortable en début d'utilisation. 
Lanière supérieure mal située sur le coup de pied",Utilise ce produit depuis 2 à 8 semaines,4
Eric,29/08/2022,Vraiment bien,"Ca fait trois ans que je les porte, tous les jours. Elles n'ont pas bougé. Donc oui, elles sont vraiment très bien.",Utilise ce produit depuis Plus de 2 ans,4
Richard Jr,28/08/2022,Très bon rapport qualité…,Très bon rapport qualité / prix,Utilise ce produit depuis 1 semaine ou moins,4
Christophe,28/08/2022,Le bonheur quand il…,Le bonheur quand il fait chaud,Utilise ce produit depuis 2 à 8 semaines,5
Jean Yves,28/08/2022,sandale  très confortable,sandale  très confortable,Utilise ce produit depuis 1 semaine ou moins,5
Gilles,28/08/2022,Très satisfait depuis plusieurs…,Très satisfait depuis plusieurs années j’achète ce produit,Utilise ce produit depuis 1 semaine ou moins,5
Emilie,28/08/2022,Super pour les petites…,"Super pour les petites balades, peut aussi être pratique pour traverser des petits cours d eau.",Utilise ce produit depuis 2 à 8 semaines,4
JEAN CLAUDE,28/08/2022,R A S,R A S,Utilise ce produit depuis 2 à 8 semaines,4
Marie Paule,27/08/2022,rien de spécial,rien de spécial,Utilise ce produit depuis 2 à 8 semaines,4
Freddy,27/08/2022,Top!,Top!,Utilise ce produit depuis 1 semaine ou moins,5
Céline,27/08/2022,Il est bien avec…,"Il est bien avec ces nouvelles chaussures. Il n'est pas trop cerré dedans. Je lui ai pris une grande taille parce qu'actuellement, il a les pieds gonflés.",Utilise ce produit depuis 1 semaine ou moins,5
LYDIE,27/08/2022,Trop rigide,Trop rigide,Utilise ce produit depuis 2 à 8 semaines,3
Johnny,26/08/2022,Très bien,Très bien,Utilise ce produit depuis 1 semaine ou moins,5
Olivier,26/08/2022,Bon rapport qualité/prix,Bon rapport qualité/prix,Utilise ce produit depuis 2 à 8 semaines,5
Philippe,26/08/2022,Bien dedans adhérence 7sur…,Bien dedans adhérence 7sur 10,Utilise ce produit depuis 2 à 8 semaines,4
Emilie,26/08/2022,"confortable, légère","confortable, légère",Utilise ce produit depuis 2 à 8 semaines,4
Kais,25/08/2022,Bonnes sandales pour l'été,"Elles sont plutôt jolies, faciles à mettre et confortables. C'est un bon rapport qualité prix",Utilise ce produit depuis 2 à 8 semaines,4
Simone,25/08/2022,J'aime pas les petites…,J'aime pas les petites bandes rouges : je les ai passées au feutre noir,Utilise ce produit depuis 2 à 8 semaines,4
Sylvain,25/08/2022,encore peu d'utilisation mais…,encore peu d'utilisation mais satisfait pour le moment,Utilise ce produit depuis 2 à 8 semaines,4
Cyril,24/08/2022,Ras,Ras,Utilise ce produit depuis 2 à 8 semaines,5
DORIS,24/08/2022,La sangle du dessus…,La sangle du dessus m'entaille le coup de pied .,Utilise ce produit depuis 2 à 8 semaines,3
Patrick,24/08/2022,Excellent produit,Excellent produit,Utilise ce produit depuis 2 à 8 semaines,5
Philippe,24/08/2022,bon rapport qualité /prix,bon rapport qualité /prix,Utilise ce produit depuis 2 à 8 semaines,5
Ian,22/08/2022,"Très bien!
bon prix &…","Très bien!
bon prix & bonne qualité!
Merci",Utilise ce produit depuis 2 à 8 semaines,4
Vincent,22/08/2022,Super pour le prix,Super pour le prix,Utilise ce produit depuis 2 à 8 semaines,5
Isabelle,21/08/2022,Facile d'entretien (se lave…,Facile d'entretien (se lave à l'eau lessive simplement),Utilise ce produit depuis 1 semaine ou moins,4
Eric,21/08/2022,Semelle trop fine,Semelle trop fine,Utilise ce produit depuis 2 à 8 semaines,3
Mounir,21/08/2022,"Qualité prix.
Produit très pratique","Qualité prix.
Produit très pratique",Utilise ce produit depuis 2 à 8 semaines,5
Rokiatou,20/08/2022,"Au top, mon mari…","Au top, mon mari les utilise depuis",Utilise ce produit depuis 7 à 12 mois,5
Mehdi,20/08/2022,Mon fils en est…,Mon fils en est content promenade à la plage et petite balade,Utilise ce produit depuis 2 à 8 semaines,4
Jean Louis,20/08/2022,Très bien top,Très bien top,Utilise ce produit depuis 1 semaine ou moins,5
VERONIQUE,20/08/2022,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Geneviève,20/08/2022,Une chose me gène…,"Une chose me gène pourtant, lorsque je les porte longtemps, mes pieds noircissent.",Utilise ce produit depuis 2 à 8 semaines,4
Jean Marc,20/08/2022,Parfait continuez !,Parfait continuez !,Utilise ce produit depuis 1 semaine ou moins,5
Fabrice,20/08/2022,acheté pour le passage…,acheté pour le passage de guets lors d un trek en himalaya.  Elles m'ont bien servi  lors de fortes pluies de mousson durant mon passage à Rishikesh,Utilise ce produit depuis 2 à 8 semaines,4
Regis,19/08/2022,plutôt confortable pour un…,plutôt confortable pour un entrée de gamme.,Utilise ce produit depuis 1 semaine ou moins,4
Martine,19/08/2022,Impec bon rapport qualité…,Impec bon rapport qualité prix ! J’en achète tous les ans version homme et femmes,Utilise ce produit depuis 2 à 8 semaines,5
Michel,19/08/2022,la taille ne correspond…,la taille ne correspond pas dutout,Utilise ce produit depuis 2 à 8 semaines,2
Philippe,19/08/2022,C'est la deuxième paire…,C'est la deuxième paire que j'achète 👍,Utilise ce produit depuis 2 à 8 semaines,4
Damien,18/08/2022,Bien confortable et pour…,Bien confortable et pour un prix très doux.,Utilise ce produit depuis 3 à 6 mois,5
Jean Francois,18/08/2022,Aucun,Aucun,Utilise ce produit depuis 1 semaine ou moins,4
Stephane,18/08/2022,Ça fera l …,Ça fera l  affaire pour la fin de l été...,Utilise ce produit depuis 1 semaine ou moins,3
Arlette,18/08/2022,Je recommande ce produit,Je recommande ce produit,Utilise ce produit depuis 1 semaine ou moins,4
Gilles,17/08/2022,Comfortable et léger,Comfortable et léger,Utilise ce produit depuis 2 à 8 semaines,4
Catherine,17/08/2022,Tres bonne sandale qui…,Tres bonne sandale qui maintient très bien le pied et joli esthétique,Utilise ce produit depuis 2 à 8 semaines,5
Senay,17/08/2022,Top,Top,Utilise ce produit depuis 1 semaine ou moins,5
Jean Claude,17/08/2022,super,super,Utilise ce produit depuis 2 à 8 semaines,4
Patrick,17/08/2022,Pratique pour petites randonnées…,Pratique pour petites randonnées d'été et marche urbaine,Utilise ce produit depuis 2 à 8 semaines,5
Antoine,16/08/2022,Bon produit. Il manque…,Bon produit. Il manque un peu de longueur à la protection sous le velcro de serrage de la cheville.,Utilise ce produit depuis 2 à 8 semaines,5
Jeremy,16/08/2022,Excellent rapport qualité prix,De bonne facture et très confortable. Je ne suis pas déçu de cet achat,Utilise ce produit depuis 2 à 8 semaines,5
Amandine,16/08/2022,Sandales,Un peu grand,Utilise ce produit depuis 1 semaine ou moins,4
Alain,16/08/2022,tres bon produit,tres bon produit,Utilise ce produit depuis 2 à 8 semaines,4
Catherine,15/08/2022,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,5
Isabelle,15/08/2022,Tb,Tb,Utilise ce produit depuis 2 à 8 semaines,5
Marie France,14/08/2022,ras,ras,Utilise ce produit depuis 1 semaine ou moins,4
